STATE,NAME,LAT,LON,COAL,OIL,GAS,NUCLEAR,HYDRO,BIO,WIND,SOLAR,GEO,OTHER1,OTHER2,OTHER,ENERGY
NC,Flat Meeks PV 1,35.806667,-77.270556,0,0,0,0,0,0,0,4302,0,0,0,,SOLAR
NC,Flemming Solar Center LLC,35.668889,-77.383889,0,0,0,0,0,0,0,8729,0,0,0,,SOLAR
NC,"Flint Hill Solar, LLC",35.40274,-79.55308,0,0,0,0,0,0,0,8981,0,0,0,,SOLAR
NC,Flowers Solar LLC,35.41218,-78.603088,,,,,,,,,,,,,SOLAR
NC,Floyd Road Solar Farm,36.50592,-77.677474,0,0,0,0,0,0,0,9198,0,0,0,,SOLAR
NC,"Floyd Solar, LLC",34.509128,-79.135875,0,0,0,0,0,0,0,9174,0,0,0,,SOLAR
NC,"FLS Solar 170, LLC",34.6,-78.97,0,0,0,0,0,0,0,3592,0,0,0,,SOLAR
NC,"FLS Solar 200, LLC",34.581944,-78.94,0,0,0,0,0,0,0,6243,0,0,0,,SOLAR
NC,FLS Solar 230 (Warren),35.016111,-77.821944,0,0,0,0,0,0,0,8587,0,0,0,,SOLAR
NC,Fontana Dam,35.4507,-83.805,0,0,0,0,1150561,0,0,0,0,0,0,,HYDRO
NC,Fox Creek Solar,36.126912,-78.273106,0,0,0,0,0,0,0,5665,0,0,0,,SOLAR
NC,Foxfire Solar Farm,35.220556,-79.551944,0,0,0,0,0,0,0,9462,0,0,0,,SOLAR
NC,Franklin (NC),35.2194,-83.3708,0,0,0,0,3726,0,0,0,0,0,0,,HYDRO
NC,Franklin Solar 2,36.126944,-78.1525,0,0,0,0,0,0,0,3656,0,0,0,,SOLAR
NC,"Franklin Solar, LLC",36.0975,-78.167778,0,0,0,0,0,0,0,3217,0,0,0,,SOLAR
NC,Franklinton Solar,36.08,-78.35,0,0,0,0,0,0,0,9337,0,0,0,,SOLAR
NC,Freemont Solar Center LLC,35.427587,-80.997219,0,0,0,0,0,0,0,9007,0,0,0,,SOLAR
NC,Fremont Farm,35.531944,-77.969167,0,0,0,0,0,0,0,9737,0,0,0,,SOLAR
NC,Friesian Holdings,34.713847,-79.542854,,,,,,,,,,,,,SOLAR
NC,Future Gen Plant 1,,,,,,,,,,,,,,,GAS
NC,Future Gen Plant 2,,,,,,,,,,,,,,,GAS
NC,G G Allen,35.1897,-81.0122,814285,5503,0,0,0,0,0,0,0,0,0,,COAL
NC,"Gainey Solar, LLC",34.499,-78.653,0,0,0,0,0,0,0,3970,0,0,0,,SOLAR
NC,Gamble Solar,35.348375,-81.817362,,,,,,,,,,,,,SOLAR
NC,Garrell Solar Farm,34.325278,-78.793056,0,0,0,0,0,0,0,6836,0,0,0,,SOLAR
NC,Garysburg Solar,36.468,-77.592,0,0,0,0,0,0,0,8737,0,0,0,,SOLAR
NC,Gaston,36.499147,-77.811543,0,0,0,0,471892,0,0,0,0,0,0,,HYDRO
NC,Gaston County Renewable Energy Center,35.3857,-81.172,0,0,0,0,0,29625,0,0,0,0,0,,BIOMASS
NC,Gaston Memorial Hospital,35.2747,-81.1383,0,20,2,0,0,0,0,0,0,0,0,,OIL
NC,Gaston Solar,36.514722,-77.656111,0,0,0,0,0,0,0,8619,0,0,0,,SOLAR
NC,Gaston Solar Power Plant,35.3224,-81.1343,,,,,,,,,,,,,SOLAR
NC,Gastonia Duke Street,35.223381,-81.13306,,,,,,,,,,,,,OIL
NC,Gastonia Prime Power Park,35.3017,-81.2092,0,-81,0,0,0,0,0,0,0,0,0,,OIL
NC,Gastonia Rankin Lake,35.2242,-81.1228,,,,,,,,,,,,,OIL
NC,Gastonia Solar Center,35.229033,-81.189078,0,0,0,0,0,0,0,174,0,0,0,,SOLAR
NC,"Gastonia, Tulip Drive",35.28914,-81.205219,0,32,0,0,0,0,0,0,0,0,0,,OIL
NC,Gates Solar LLC,36.450833,-76.803611,0,0,0,0,0,0,0,9527,0,0,0,,SOLAR
NC,"Germantown Solar, LLC",36.24634,-80.25463,0,0,0,0,0,0,0,2714,0,0,0,,SOLAR
NC,GKS Solar,36.248333,-76.501944,0,0,0,0,0,0,0,8544,0,0,0,,SOLAR
NC,Graham Solar Center LLC,34.309722,-79.014444,0,0,0,0,0,0,0,7282,0,0,0,,SOLAR
NC,Grandy PV 1,36.233611,-75.880833,,,,,,,,,,,,,SOLAR
NC,Granite Falls Walmart,35.7811,-81.3928,0,19,0,0,0,0,0,0,0,0,0,,OIL
NC,Granville Solar PV Power Project,36.411667,-78.593889,0,0,0,0,0,0,0,4672,0,0,0,,SOLAR
NC,Green Farm,35.831667,-77.269722,0,0,0,0,0,0,0,7247,0,0,0,,SOLAR
NC,Grove Solar,35.16922,-77.1182,,,,,,,,,,,,,SOLAR
NC,"Grove Solar, LLC",35.164689,-77.120176,,,,,,,,,,,,,SOLAR
NC,GRS CMS,35.353269,-80.668024,0,0,0,0,0,25701,0,0,0,0,0,,BIOMASS
NC,H F Lee Steam Electric Plant,35.373611,-78.089444,0,0,7210666,0,0,0,0,0,0,0,0,,GAS
NC,Halifax,36.441944,-77.711389,0,0,0,0,0,0,0,33511,0,0,0,,SOLAR
NC,Halifax Solar LLC,36.345,-77.63,,,,,,,,,,,,,SOLAR
NC,"Hanover Solar, LLC",34.800947,-77.213772,0,0,0,0,0,0,0,6413,0,0,0,,SOLAR
NC,Happy Solar,35.3965,-78.5108,0,0,0,0,0,0,0,7310,0,0,0,,SOLAR
